geoid,geoid20,year,denom_total_pop,severe_collision_count,pedestrian_collision_count,bicycle_collision_count,pedestrian_collision_rate,bicycle_collision_rate,severe_collision_rate
1400000US06037139704,6037139704,2022,2597,1,0,0,0,0,38.50597
1400000US06037139801,6037139801,2022,3498,2,0,0,0,0,57.175529
1400000US06037139802,6037139802,2022,3887,2,0,1,0,25.726782,51.453564
1400000US06037141101,6037141101,2022,4434,3,0,0,0,0,67.658997
1400000US06037141102,6037141102,2022,2961,6,3,0,101.31712,0,202.63425
1400000US06037141201,6037141201,2022,3960,1,0,0,0,0,25.252525
1400000US06037141303,6037141303,2022,3231,3,0,0,0,0,92.85051
1400000US06037141304,6037141304,2022,3011,3,1,0,33.211559,0,99.634674
1400000US06037141305,6037141305,2022,2878,6,2,0,69.492706,0,208.4781
1400000US06037141306,6037141306,2022,3076,2,1,0,32.509754,0,65.019508
1400000US06037141400,6037141400,2022,5019,4,1,1,19.924288,19.924288,79.697151
1400000US06037141500,6037141500,2022,3017,5,0,1,0,33.145508,165.72754
1400000US06037141600,6037141600,2022,3853,2,0,0,0,0,51.907604
1400000US06037141700,6037141700,2022,3086,2,0,0,0,0,64.808815
1400000US06037143101,6037143101,2022,2074,1,0,0,0,0,48.216007
1400000US06037143102,6037143102,2022,2337,1,0,0,0,0,42.789902
1400000US06037143200,6037143200,2022,4235,2,0,0,0,0,47.225502
1400000US06037143301,6037143301,2022,3385,7,3,0,88.626289,0,206.79468
1400000US06037143302,6037143302,2022,3258,3,3,0,92.081032,0,92.081032
1400000US06037143401,6037143401,2022,5478,1,0,0,0,0,18.254837
1400000US06037143402,6037143402,2022,1844,3,0,1,0,54.229935,162.6898
1400000US06037143602,6037143602,2022,4734,3,1,0,21.123785,0,63.371357
1400000US06037143603,6037143603,2022,2459,1,0,0,0,0,40.666939
1400000US06037143605,6037143605,2022,1827,1,0,0,0,0,54.734539
1400000US06037143606,6037143606,2022,1695,2,1,0,58.997051,0,117.9941
1400000US06037143700,6037143700,2022,3438,6,0,0,0,0,174.52007
1400000US06037143801,6037143801,2022,3411,7,1,0,29.316916,0,205.21841
1400000US06037143802,6037143802,2022,2239,2,0,1,0,44.662796,89.325592
1400000US06037143901,6037143901,2022,4222,13,4,0,94.741829,0,307.91095
1400000US06037143902,6037143902,2022,3053,1,0,0,0,0,32.754669
1400000US06037181000,6037181000,2022,5992,13,1,1,16.688919,16.688919,216.95595
1400000US06037181300,6037181300,2022,3971,3,1,1,25.182573,25.182573,75.547722
1400000US06037181400,6037181400,2022,4655,3,1,0,21.482277,0,64.446831
1400000US06037181500,6037181500,2022,4106,1,1,0,24.354603,0,24.354603
1400000US06037181600,6037181600,2022,4438,2,1,0,22.532673,0,45.065346
1400000US06037183101,6037183101,2022,2741,9,1,2,36.483036,72.966072,328.34732
1400000US06037183103,6037183103,2022,4548,4,1,0,21.987686,0,87.950745
1400000US06037183220,6037183220,2022,3118,2,0,1,0,32.071842,64.143684
1400000US06037183221,6037183221,2022,3514,2,0,0,0,0,56.915195
1400000US06037183300,6037183300,2022,3231,10,1,1,30.950171,30.950171,309.50171
1400000US06037183401,6037183401,2022,2416,1,0,1,0,41.390728,41.390728
1400000US06037183402,6037183402,2022,2939,2,0,0,0,0,68.050354
